train_index,sample_id,video_id,outer_fold,judge_fold,inner_valid_outer0,inner_valid_outer1,inner_valid_outer2,inner_valid_outer3,inner_valid_outer4
84,2WGyTLYerpo$_$42,2WGyTLYerpo,3,1,0,0,0,1,0
85,2WGyTLYerpo$_$48,2WGyTLYerpo,3,1,0,0,0,1,0
86,2WGyTLYerpo$_$43,2WGyTLYerpo,3,1,0,0,0,1,0
87,2WGyTLYerpo$_$60,2WGyTLYerpo,3,1,0,0,0,1,0
88,2WGyTLYerpo$_$61,2WGyTLYerpo,3,1,0,0,0,1,0
89,2WGyTLYerpo$_$62,2WGyTLYerpo,3,1,0,0,0,1,0
90,2WGyTLYerpo$_$63,2WGyTLYerpo,3,1,0,0,0,1,0
91,2WGyTLYerpo$_$49,2WGyTLYerpo,3,1,0,0,0,1,0
92,2WGyTLYerpo$_$52,2WGyTLYerpo,3,1,0,0,0,1,0
93,2WGyTLYerpo$_$53,2WGyTLYerpo,3,1,0,0,0,1,0
94,2WGyTLYerpo$_$24,2WGyTLYerpo,3,1,0,0,0,1,0
95,2WGyTLYerpo$_$25,2WGyTLYerpo,3,1,0,0,0,1,0
96,2WGyTLYerpo$_$26,2WGyTLYerpo,3,1,0,0,0,1,0
97,2WGyTLYerpo$_$27,2WGyTLYerpo,3,1,0,0,0,1,0
98,2WGyTLYerpo$_$20,2WGyTLYerpo,3,1,0,0,0,1,0
99,2WGyTLYerpo$_$21,2WGyTLYerpo,3,1,0,0,0,1,0
100,2WGyTLYerpo$_$22,2WGyTLYerpo,3,1,0,0,0,1,0
101,2WGyTLYerpo$_$23,2WGyTLYerpo,3,1,0,0,0,1,0
102,2WGyTLYerpo$_$46,2WGyTLYerpo,3,1,0,0,0,1,0
103,2WGyTLYerpo$_$47,2WGyTLYerpo,3,1,0,0,0,1,0
104,2WGyTLYerpo$_$44,2WGyTLYerpo,3,1,0,0,0,1,0
105,2WGyTLYerpo$_$45,2WGyTLYerpo,3,1,0,0,0,1,0
106,2WGyTLYerpo$_$28,2WGyTLYerpo,3,1,0,0,0,1,0
107,2WGyTLYerpo$_$29,2WGyTLYerpo,3,1,0,0,0,1,0
108,2WGyTLYerpo$_$40,2WGyTLYerpo,3,1,0,0,0,1,0
109,2WGyTLYerpo$_$41,2WGyTLYerpo,3,1,0,0,0,1,0
110,2WGyTLYerpo$_$1,2WGyTLYerpo,3,1,0,0,0,1,0
111,2WGyTLYerpo$_$3,2WGyTLYerpo,3,1,0,0,0,1,0
112,2WGyTLYerpo$_$2,2WGyTLYerpo,3,1,0,0,0,1,0
113,2WGyTLYerpo$_$5,2WGyTLYerpo,3,1,0,0,0,1,0
114,2WGyTLYerpo$_$4,2WGyTLYerpo,3,1,0,0,0,1,0
115,2WGyTLYerpo$_$7,2WGyTLYerpo,3,1,0,0,0,1,0
116,2WGyTLYerpo$_$6,2WGyTLYerpo,3,1,0,0,0,1,0
117,2WGyTLYerpo$_$9,2WGyTLYerpo,3,1,0,0,0,1,0
118,2WGyTLYerpo$_$8,2WGyTLYerpo,3,1,0,0,0,1,0
119,2WGyTLYerpo$_$51,2WGyTLYerpo,3,1,0,0,0,1,0
120,2WGyTLYerpo$_$39,2WGyTLYerpo,3,1,0,0,0,1,0
121,2WGyTLYerpo$_$38,2WGyTLYerpo,3,1,0,0,0,1,0
122,2WGyTLYerpo$_$59,2WGyTLYerpo,3,1,0,0,0,1,0
123,2WGyTLYerpo$_$58,2WGyTLYerpo,3,1,0,0,0,1,0
124,2WGyTLYerpo$_$11,2WGyTLYerpo,3,1,0,0,0,1,0
125,2WGyTLYerpo$_$10,2WGyTLYerpo,3,1,0,0,0,1,0
126,2WGyTLYerpo$_$13,2WGyTLYerpo,3,1,0,0,0,1,0
127,2WGyTLYerpo$_$12,2WGyTLYerpo,3,1,0,0,0,1,0
128,2WGyTLYerpo$_$15,2WGyTLYerpo,3,1,0,0,0,1,0
129,2WGyTLYerpo$_$14,2WGyTLYerpo,3,1,0,0,0,1,0
130,2WGyTLYerpo$_$17,2WGyTLYerpo,3,1,0,0,0,1,0
131,2WGyTLYerpo$_$16,2WGyTLYerpo,3,1,0,0,0,1,0
132,2WGyTLYerpo$_$19,2WGyTLYerpo,3,1,0,0,0,1,0
133,2WGyTLYerpo$_$18,2WGyTLYerpo,3,1,0,0,0,1,0
134,2WGyTLYerpo$_$31,2WGyTLYerpo,3,1,0,0,0,1,0
135,2WGyTLYerpo$_$30,2WGyTLYerpo,3,1,0,0,0,1,0
136,2WGyTLYerpo$_$37,2WGyTLYerpo,3,1,0,0,0,1,0
137,2WGyTLYerpo$_$36,2WGyTLYerpo,3,1,0,0,0,1,0
138,2WGyTLYerpo$_$35,2WGyTLYerpo,3,1,0,0,0,1,0
139,2WGyTLYerpo$_$34,2WGyTLYerpo,3,1,0,0,0,1,0
140,2WGyTLYerpo$_$33,2WGyTLYerpo,3,1,0,0,0,1,0
141,2WGyTLYerpo$_$55,2WGyTLYerpo,3,1,0,0,0,1,0
142,2WGyTLYerpo$_$32,2WGyTLYerpo,3,1,0,0,0,1,0
143,2WGyTLYerpo$_$57,2WGyTLYerpo,3,1,0,0,0,1,0
144,2WGyTLYerpo$_$50,2WGyTLYerpo,3,1,0,0,0,1,0
145,2iD-tVS8NPw$_$24,2iD-tVS8NPw,1,1,0,0,0,0,0
146,2iD-tVS8NPw$_$25,2iD-tVS8NPw,1,1,0,0,0,0,0
147,2iD-tVS8NPw$_$26,2iD-tVS8NPw,1,1,0,0,0,0,0
148,2iD-tVS8NPw$_$27,2iD-tVS8NPw,1,1,0,0,0,0,0
149,2iD-tVS8NPw$_$20,2iD-tVS8NPw,1,1,0,0,0,0,0
150,2iD-tVS8NPw$_$21,2iD-tVS8NPw,1,1,0,0,0,0,0
151,2iD-tVS8NPw$_$22,2iD-tVS8NPw,1,1,0,0,0,0,0
152,2iD-tVS8NPw$_$23,2iD-tVS8NPw,1,1,0,0,0,0,0
153,2iD-tVS8NPw$_$28,2iD-tVS8NPw,1,1,0,0,0,0,0
154,2iD-tVS8NPw$_$29,2iD-tVS8NPw,1,1,0,0,0,0,0
155,2iD-tVS8NPw$_$1,2iD-tVS8NPw,1,1,0,0,0,0,0
156,2iD-tVS8NPw$_$3,2iD-tVS8NPw,1,1,0,0,0,0,0
157,2iD-tVS8NPw$_$2,2iD-tVS8NPw,1,1,0,0,0,0,0
158,2iD-tVS8NPw$_$5,2iD-tVS8NPw,1,1,0,0,0,0,0
159,2iD-tVS8NPw$_$4,2iD-tVS8NPw,1,1,0,0,0,0,0
160,2iD-tVS8NPw$_$7,2iD-tVS8NPw,1,1,0,0,0,0,0
161,2iD-tVS8NPw$_$6,2iD-tVS8NPw,1,1,0,0,0,0,0
162,2iD-tVS8NPw$_$9,2iD-tVS8NPw,1,1,0,0,0,0,0
163,2iD-tVS8NPw$_$8,2iD-tVS8NPw,1,1,0,0,0,0,0
164,2iD-tVS8NPw$_$11,2iD-tVS8NPw,1,1,0,0,0,0,0
165,2iD-tVS8NPw$_$10,2iD-tVS8NPw,1,1,0,0,0,0,0
166,2iD-tVS8NPw$_$13,2iD-tVS8NPw,1,1,0,0,0,0,0
167,2iD-tVS8NPw$_$12,2iD-tVS8NPw,1,1,0,0,0,0,0
168,2iD-tVS8NPw$_$15,2iD-tVS8NPw,1,1,0,0,0,0,0
169,2iD-tVS8NPw$_$14,2iD-tVS8NPw,1,1,0,0,0,0,0
170,2iD-tVS8NPw$_$17,2iD-tVS8NPw,1,1,0,0,0,0,0
171,2iD-tVS8NPw$_$16,2iD-tVS8NPw,1,1,0,0,0,0,0
172,2iD-tVS8NPw$_$19,2iD-tVS8NPw,1,1,0,0,0,0,0
173,2iD-tVS8NPw$_$18,2iD-tVS8NPw,1,1,0,0,0,0,0
174,2iD-tVS8NPw$_$30,2iD-tVS8NPw,1,1,0,0,0,0,0
175,5W7Z1C_fDaE$_$24,5W7Z1C_fDaE,0,1,0,0,1,1,0
176,5W7Z1C_fDaE$_$20,5W7Z1C_fDaE,0,1,0,0,1,1,0
177,5W7Z1C_fDaE$_$21,5W7Z1C_fDaE,0,1,0,0,1,1,0
178,5W7Z1C_fDaE$_$22,5W7Z1C_fDaE,0,1,0,0,1,1,0
179,5W7Z1C_fDaE$_$23,5W7Z1C_fDaE,0,1,0,0,1,1,0
180,5W7Z1C_fDaE$_$1,5W7Z1C_fDaE,0,1,0,0,1,1,0
181,5W7Z1C_fDaE$_$3,5W7Z1C_fDaE,0,1,0,0,1,1,0
182,5W7Z1C_fDaE$_$2,5W7Z1C_fDaE,0,1,0,0,1,1,0
183,5W7Z1C_fDaE$_$5,5W7Z1C_fDaE,0,1,0,0,1,1,0
184,5W7Z1C_fDaE$_$4,5W7Z1C_fDaE,0,1,0,0,1,1,0
185,5W7Z1C_fDaE$_$7,5W7Z1C_fDaE,0,1,0,0,1,1,0
186,5W7Z1C_fDaE$_$6,5W7Z1C_fDaE,0,1,0,0,1,1,0
187,5W7Z1C_fDaE$_$9,5W7Z1C_fDaE,0,1,0,0,1,1,0
188,5W7Z1C_fDaE$_$8,5W7Z1C_fDaE,0,1,0,0,1,1,0
189,5W7Z1C_fDaE$_$11,5W7Z1C_fDaE,0,1,0,0,1,1,0
190,5W7Z1C_fDaE$_$10,5W7Z1C_fDaE,0,1,0,0,1,1,0
191,5W7Z1C_fDaE$_$13,5W7Z1C_fDaE,0,1,0,0,1,1,0
192,5W7Z1C_fDaE$_$12,5W7Z1C_fDaE,0,1,0,0,1,1,0
193,5W7Z1C_fDaE$_$15,5W7Z1C_fDaE,0,1,0,0,1,1,0
194,5W7Z1C_fDaE$_$14,5W7Z1C_fDaE,0,1,0,0,1,1,0
195,5W7Z1C_fDaE$_$17,5W7Z1C_fDaE,0,1,0,0,1,1,0
196,5W7Z1C_fDaE$_$16,5W7Z1C_fDaE,0,1,0,0,1,1,0
197,5W7Z1C_fDaE$_$19,5W7Z1C_fDaE,0,1,0,0,1,1,0
198,5W7Z1C_fDaE$_$18,5W7Z1C_fDaE,0,1,0,0,1,1,0
199,6Egk_28TtTM$_$11,6Egk_28TtTM,0,0,0,0,0,0,0
200,6Egk_28TtTM$_$10,6Egk_28TtTM,0,0,0,0,0,0,0
201,6Egk_28TtTM$_$12,6Egk_28TtTM,0,0,0,0,0,0,0
202,6Egk_28TtTM$_$1,6Egk_28TtTM,0,0,0,0,0,0,0
203,6Egk_28TtTM$_$3,6Egk_28TtTM,0,0,0,0,0,0,0
204,6Egk_28TtTM$_$2,6Egk_28TtTM,0,0,0,0,0,0,0
205,6Egk_28TtTM$_$5,6Egk_28TtTM,0,0,0,0,0,0,0
206,6Egk_28TtTM$_$4,6Egk_28TtTM,0,0,0,0,0,0,0
207,6Egk_28TtTM$_$7,6Egk_28TtTM,0,0,0,0,0,0,0
208,6Egk_28TtTM$_$6,6Egk_28TtTM,0,0,0,0,0,0,0
209,6Egk_28TtTM$_$9,6Egk_28TtTM,0,0,0,0,0,0,0
210,6Egk_28TtTM$_$8,6Egk_28TtTM,0,0,0,0,0,0,0
211,6_0THN4chvY$_$11,6_0THN4chvY,1,1,0,0,0,0,0
212,6_0THN4chvY$_$10,6_0THN4chvY,1,1,0,0,0,0,0
213,6_0THN4chvY$_$13,6_0THN4chvY,1,1,0,0,0,0,0
214,6_0THN4chvY$_$12,6_0THN4chvY,1,1,0,0,0,0,0
215,6_0THN4chvY$_$14,6_0THN4chvY,1,1,0,0,0,0,0
216,6_0THN4chvY$_$1,6_0THN4chvY,1,1,0,0,0,0,0
217,6_0THN4chvY$_$3,6_0THN4chvY,1,1,0,0,0,0,0
218,6_0THN4chvY$_$2,6_0THN4chvY,1,1,0,0,0,0,0
219,6_0THN4chvY$_$5,6_0THN4chvY,1,1,0,0,0,0,0
220,6_0THN4chvY$_$4,6_0THN4chvY,1,1,0,0,0,0,0
221,6_0THN4chvY$_$7,6_0THN4chvY,1,1,0,0,0,0,0
222,6_0THN4chvY$_$6,6_0THN4chvY,1,1,0,0,0,0,0
223,6_0THN4chvY$_$9,6_0THN4chvY,1,1,0,0,0,0,0
224,6_0THN4chvY$_$8,6_0THN4chvY,1,1,0,0,0,0,0
225,73jzhE8R1TQ$_$11,73jzhE8R1TQ,2,1,0,0,0,0,0
226,73jzhE8R1TQ$_$10,73jzhE8R1TQ,2,1,0,0,0,0,0
227,73jzhE8R1TQ$_$13,73jzhE8R1TQ,2,1,0,0,0,0,0
228,73jzhE8R1TQ$_$12,73jzhE8R1TQ,2,1,0,0,0,0,0
229,73jzhE8R1TQ$_$15,73jzhE8R1TQ,2,1,0,0,0,0,0
230,73jzhE8R1TQ$_$14,73jzhE8R1TQ,2,1,0,0,0,0,0
231,73jzhE8R1TQ$_$17,73jzhE8R1TQ,2,1,0,0,0,0,0
232,73jzhE8R1TQ$_$16,73jzhE8R1TQ,2,1,0,0,0,0,0
233,73jzhE8R1TQ$_$19,73jzhE8R1TQ,2,1,0,0,0,0,0
234,73jzhE8R1TQ$_$18,73jzhE8R1TQ,2,1,0,0,0,0,0
235,73jzhE8R1TQ$_$1,73jzhE8R1TQ,2,1,0,0,0,0,0
236,73jzhE8R1TQ$_$3,73jzhE8R1TQ,2,1,0,0,0,0,0
237,73jzhE8R1TQ$_$2,73jzhE8R1TQ,2,1,0,0,0,0,0
238,73jzhE8R1TQ$_$5,73jzhE8R1TQ,2,1,0,0,0,0,0
239,73jzhE8R1TQ$_$4,73jzhE8R1TQ,2,1,0,0,0,0,0
240,73jzhE8R1TQ$_$7,73jzhE8R1TQ,2,1,0,0,0,0,0
241,73jzhE8R1TQ$_$6,73jzhE8R1TQ,2,1,0,0,0,0,0
242,73jzhE8R1TQ$_$9,73jzhE8R1TQ,2,1,0,0,0,0,0
243,73jzhE8R1TQ$_$8,73jzhE8R1TQ,2,1,0,0,0,0,0
244,7JsX8y1ysxY$_$24,7JsX8y1ysxY,4,1,0,0,1,0,0
245,7JsX8y1ysxY$_$25,7JsX8y1ysxY,4,1,0,0,1,0,0
246,7JsX8y1ysxY$_$26,7JsX8y1ysxY,4,1,0,0,1,0,0
247,7JsX8y1ysxY$_$27,7JsX8y1ysxY,4,1,0,0,1,0,0
248,7JsX8y1ysxY$_$20,7JsX8y1ysxY,4,1,0,0,1,0,0
249,7JsX8y1ysxY$_$21,7JsX8y1ysxY,4,1,0,0,1,0,0
250,7JsX8y1ysxY$_$22,7JsX8y1ysxY,4,1,0,0,1,0,0
251,7JsX8y1ysxY$_$23,7JsX8y1ysxY,4,1,0,0,1,0,0
252,7JsX8y1ysxY$_$28,7JsX8y1ysxY,4,1,0,0,1,0,0
253,7JsX8y1ysxY$_$29,7JsX8y1ysxY,4,1,0,0,1,0,0
254,7JsX8y1ysxY$_$1,7JsX8y1ysxY,4,1,0,0,1,0,0
255,7JsX8y1ysxY$_$3,7JsX8y1ysxY,4,1,0,0,1,0,0
256,7JsX8y1ysxY$_$2,7JsX8y1ysxY,4,1,0,0,1,0,0
257,7JsX8y1ysxY$_$5,7JsX8y1ysxY,4,1,0,0,1,0,0
258,7JsX8y1ysxY$_$4,7JsX8y1ysxY,4,1,0,0,1,0,0
259,7JsX8y1ysxY$_$7,7JsX8y1ysxY,4,1,0,0,1,0,0
260,7JsX8y1ysxY$_$6,7JsX8y1ysxY,4,1,0,0,1,0,0
261,7JsX8y1ysxY$_$9,7JsX8y1ysxY,4,1,0,0,1,0,0
262,7JsX8y1ysxY$_$8,7JsX8y1ysxY,4,1,0,0,1,0,0
263,7JsX8y1ysxY$_$39,7JsX8y1ysxY,4,1,0,0,1,0,0
264,7JsX8y1ysxY$_$38,7JsX8y1ysxY,4,1,0,0,1,0,0
265,7JsX8y1ysxY$_$11,7JsX8y1ysxY,4,1,0,0,1,0,0
266,7JsX8y1ysxY$_$10,7JsX8y1ysxY,4,1,0,0,1,0,0
267,7JsX8y1ysxY$_$13,7JsX8y1ysxY,4,1,0,0,1,0,0
268,7JsX8y1ysxY$_$12,7JsX8y1ysxY,4,1,0,0,1,0,0
269,7JsX8y1ysxY$_$15,7JsX8y1ysxY,4,1,0,0,1,0,0
270,7JsX8y1ysxY$_$14,7JsX8y1ysxY,4,1,0,0,1,0,0
271,7JsX8y1ysxY$_$17,7JsX8y1ysxY,4,1,0,0,1,0,0
272,7JsX8y1ysxY$_$16,7JsX8y1ysxY,4,1,0,0,1,0,0
273,7JsX8y1ysxY$_$19,7JsX8y1ysxY,4,1,0,0,1,0,0
274,7JsX8y1ysxY$_$18,7JsX8y1ysxY,4,1,0,0,1,0,0
275,7JsX8y1ysxY$_$31,7JsX8y1ysxY,4,1,0,0,1,0,0
276,7JsX8y1ysxY$_$30,7JsX8y1ysxY,4,1,0,0,1,0,0
277,7JsX8y1ysxY$_$37,7JsX8y1ysxY,4,1,0,0,1,0,0
278,7JsX8y1ysxY$_$36,7JsX8y1ysxY,4,1,0,0,1,0,0
279,7JsX8y1ysxY$_$35,7JsX8y1ysxY,4,1,0,0,1,0,0
280,7JsX8y1ysxY$_$34,7JsX8y1ysxY,4,1,0,0,1,0,0
281,7JsX8y1ysxY$_$33,7JsX8y1ysxY,4,1,0,0,1,0,0
282,7JsX8y1ysxY$_$32,7JsX8y1ysxY,4,1,0,0,1,0,0
283,8OtFthrtaJM$_$20,8OtFthrtaJM,3,0,0,0,1,0,0
284,8OtFthrtaJM$_$21,8OtFthrtaJM,3,0,0,0,1,0,0
285,8OtFthrtaJM$_$22,8OtFthrtaJM,3,0,0,0,1,0,0
286,8OtFthrtaJM$_$23,8OtFthrtaJM,3,0,0,0,1,0,0
287,8OtFthrtaJM$_$1,8OtFthrtaJM,3,0,0,0,1,0,0
288,8OtFthrtaJM$_$3,8OtFthrtaJM,3,0,0,0,1,0,0
289,8OtFthrtaJM$_$2,8OtFthrtaJM,3,0,0,0,1,0,0
290,8OtFthrtaJM$_$5,8OtFthrtaJM,3,0,0,0,1,0,0
291,8OtFthrtaJM$_$4,8OtFthrtaJM,3,0,0,0,1,0,0
292,8OtFthrtaJM$_$7,8OtFthrtaJM,3,0,0,0,1,0,0
293,8OtFthrtaJM$_$6,8OtFthrtaJM,3,0,0,0,1,0,0
294,8OtFthrtaJM$_$9,8OtFthrtaJM,3,0,0,0,1,0,0
295,8OtFthrtaJM$_$8,8OtFthrtaJM,3,0,0,0,1,0,0
296,8OtFthrtaJM$_$11,8OtFthrtaJM,3,0,0,0,1,0,0
297,8OtFthrtaJM$_$10,8OtFthrtaJM,3,0,0,0,1,0,0
298,8OtFthrtaJM$_$13,8OtFthrtaJM,3,0,0,0,1,0,0
299,8OtFthrtaJM$_$12,8OtFthrtaJM,3,0,0,0,1,0,0
300,8OtFthrtaJM$_$15,8OtFthrtaJM,3,0,0,0,1,0,0
301,8OtFthrtaJM$_$14,8OtFthrtaJM,3,0,0,0,1,0,0
302,8OtFthrtaJM$_$17,8OtFthrtaJM,3,0,0,0,1,0,0
303,8OtFthrtaJM$_$16,8OtFthrtaJM,3,0,0,0,1,0,0
304,8OtFthrtaJM$_$19,8OtFthrtaJM,3,0,0,0,1,0,0
305,8OtFthrtaJM$_$18,8OtFthrtaJM,3,0,0,0,1,0,0
306,8d-gEyoeBzc$_$24,8d-gEyoeBzc,3,0,0,0,0,0,0
307,8d-gEyoeBzc$_$25,8d-gEyoeBzc,3,0,0,0,0,0,0
308,8d-gEyoeBzc$_$26,8d-gEyoeBzc,3,0,0,0,0,0,0
309,8d-gEyoeBzc$_$27,8d-gEyoeBzc,3,0,0,0,0,0,0
310,8d-gEyoeBzc$_$20,8d-gEyoeBzc,3,0,0,0,0,0,0
311,8d-gEyoeBzc$_$21,8d-gEyoeBzc,3,0,0,0,0,0,0
312,8d-gEyoeBzc$_$22,8d-gEyoeBzc,3,0,0,0,0,0,0
313,8d-gEyoeBzc$_$23,8d-gEyoeBzc,3,0,0,0,0,0,0
314,8d-gEyoeBzc$_$28,8d-gEyoeBzc,3,0,0,0,0,0,0
315,8d-gEyoeBzc$_$29,8d-gEyoeBzc,3,0,0,0,0,0,0
316,8d-gEyoeBzc$_$1,8d-gEyoeBzc,3,0,0,0,0,0,0
317,8d-gEyoeBzc$_$3,8d-gEyoeBzc,3,0,0,0,0,0,0
318,8d-gEyoeBzc$_$2,8d-gEyoeBzc,3,0,0,0,0,0,0
319,8d-gEyoeBzc$_$5,8d-gEyoeBzc,3,0,0,0,0,0,0
320,8d-gEyoeBzc$_$4,8d-gEyoeBzc,3,0,0,0,0,0,0
321,8d-gEyoeBzc$_$7,8d-gEyoeBzc,3,0,0,0,0,0,0
322,8d-gEyoeBzc$_$6,8d-gEyoeBzc,3,0,0,0,0,0,0
323,8d-gEyoeBzc$_$9,8d-gEyoeBzc,3,0,0,0,0,0,0
324,8d-gEyoeBzc$_$8,8d-gEyoeBzc,3,0,0,0,0,0,0
