section	split	mode	method	expert_id	metric	value	reference	notes
teacher_oof_metric	judge_valid_0	LV	Equal average	NA	Acc5	0.549930971	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Equal average	NA	Acc2	0.8437039221	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Equal average	NA	F1	0.843464977	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Equal average	NA	J	0.554728533	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Equal average	NA	MAE	0.554728533	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Equal average	NA	Corr	0.7555063301	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Equal average	NA	Acc7	0.5249654855	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Equal average	NA	Acc5	0.5461343764	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Equal average	NA	Acc2	0.8432615748	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Equal average	NA	F1	0.8429731293	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Equal average	NA	J	0.5534078973	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Equal average	NA	MAE	0.553746151	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Equal average	NA	Corr	0.7564236231	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Equal average	NA	Acc7	0.5266624482	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Equal average	NA	Acc5	0.5478888633	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Equal average	NA	Acc2	0.843298437	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Equal average	NA	F1	0.8430166607	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Global fixed stacking	NA	J	0.5535822569	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Global fixed stacking	NA	MAE	0.5535822569	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Global fixed stacking	NA	Corr	0.7563568075	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Global fixed stacking	NA	Acc7	0.5260009204	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Global fixed stacking	NA	Acc5	0.5477450529	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Global fixed stacking	NA	Acc2	0.84237688	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Global fixed stacking	NA	F1	0.8420203397	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Global fixed stacking	NA	J	0.555327751	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Global fixed stacking	NA	MAE	0.555327751	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Global fixed stacking	NA	Corr	0.7547699074	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Global fixed stacking	NA	Acc7	0.5251955821	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Global fixed stacking	NA	Acc5	0.546709618	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Global fixed stacking	NA	Acc2	0.8437039221	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Global fixed stacking	NA	F1	0.8432323063	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Global fixed stacking	NA	J	0.5538906331	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Global fixed stacking	NA	MAE	0.5538906331	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Global fixed stacking	NA	Corr	0.7559649116	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Global fixed stacking	NA	Acc7	0.5279567418	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Global fixed stacking	NA	Acc5	0.5494707777	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Global fixed stacking	NA	Acc2	0.8426717782	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Global fixed stacking	NA	F1	0.8423270414	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Global fixed stacking	NA	J	0.5556023466	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Global fixed stacking	NA	MAE	0.5556023466	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Global fixed stacking	NA	Corr	0.7544908835	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Global fixed stacking	NA	Acc7	0.5256557754	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Global fixed stacking	NA	Acc5	0.5471698113	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Global fixed stacking	NA	Acc2	0.8422294308	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Global fixed stacking	NA	F1	0.841799188	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Global fixed stacking	NA	J	0.5542612502	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Global fixed stacking	NA	MAE	0.5546007469	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Global fixed stacking	NA	Corr	0.7553956275	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Global fixed stacking	NA	Acc7	0.5262022549	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Global fixed stacking	NA	Acc5	0.547773815	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Global fixed stacking	NA	Acc2	0.8427455028	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Global fixed stacking	NA	F1	0.8423447189	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Per-mode fixed stacking	NA	J	0.5535445414	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Per-mode fixed stacking	NA	MAE	0.5535445414	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Per-mode fixed stacking	NA	Corr	0.7563919812	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Per-mode fixed stacking	NA	Acc7	0.5261159687	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Per-mode fixed stacking	NA	Acc5	0.5479751496	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Per-mode fixed stacking	NA	Acc2	0.8432615748	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Per-mode fixed stacking	NA	F1	0.8428959092	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Per-mode fixed stacking	NA	J	0.555511554	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Per-mode fixed stacking	NA	MAE	0.555511554	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Per-mode fixed stacking	NA	Corr	0.7544938837	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Per-mode fixed stacking	NA	Acc7	0.5255407271	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Per-mode fixed stacking	NA	Acc5	0.547054763	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Per-mode fixed stacking	NA	Acc2	0.8442937187	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Per-mode fixed stacking	NA	F1	0.8438124977	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Per-mode fixed stacking	NA	J	0.5538216143	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Per-mode fixed stacking	NA	MAE	0.5538216143	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Per-mode fixed stacking	NA	Corr	0.7560996938	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Per-mode fixed stacking	NA	Acc7	0.5276115969	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Per-mode fixed stacking	NA	Acc5	0.5491256328	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Per-mode fixed stacking	NA	Acc2	0.8429666765	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Per-mode fixed stacking	NA	F1	0.8426114703	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Per-mode fixed stacking	NA	J	0.5556008643	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Per-mode fixed stacking	NA	MAE	0.5556008643	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Per-mode fixed stacking	NA	Corr	0.7545052142	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Per-mode fixed stacking	NA	Acc7	0.5251955821	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Per-mode fixed stacking	NA	Acc5	0.546709618	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Per-mode fixed stacking	NA	Acc2	0.8422294308	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Per-mode fixed stacking	NA	F1	0.841776341	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Per-mode fixed stacking	NA	J	0.5542612762	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Per-mode fixed stacking	NA	MAE	0.5546196435	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Per-mode fixed stacking	NA	Corr	0.7553726932	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Per-mode fixed stacking	NA	Acc7	0.5261159687	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Per-mode fixed stacking	NA	Acc5	0.5477162908	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Per-mode fixed stacking	NA	Acc2	0.8431878502	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Per-mode fixed stacking	NA	F1	0.8427740545	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Mode-only weighting	NA	J	0.5527346934	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Mode-only weighting	NA	MAE	0.5527346934	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Mode-only weighting	NA	Corr	0.7573797066	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Mode-only weighting	NA	Acc7	0.5273815002	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Mode-only weighting	NA	Acc5	0.5487804878	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Mode-only weighting	NA	Acc2	0.8432615748	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Mode-only weighting	NA	F1	0.8429949077	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Mode-only weighting	NA	J	0.5545421769	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Mode-only weighting	NA	MAE	0.5545421769	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Mode-only weighting	NA	Corr	0.7557293902	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Mode-only weighting	NA	Acc7	0.5254256788	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Mode-only weighting	NA	Acc5	0.5465945697	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Mode-only weighting	NA	Acc2	0.8429666765	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Mode-only weighting	NA	F1	0.8426225859	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Mode-only weighting	NA	J	0.5529845385	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Mode-only weighting	NA	MAE	0.5529845385	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Mode-only weighting	NA	Corr	0.7570580444	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Mode-only weighting	NA	Acc7	0.5289921767	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Mode-only weighting	NA	Acc5	0.5501610676	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Mode-only weighting	NA	Acc2	0.8438513713	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Mode-only weighting	NA	F1	0.8436180168	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Mode-only weighting	NA	J	0.5547283056	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Mode-only weighting	NA	MAE	0.5547283056	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Mode-only weighting	NA	Corr	0.7555009129	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Mode-only weighting	NA	Acc7	0.5254256788	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Mode-only weighting	NA	Acc5	0.5465945697	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Mode-only weighting	NA	Acc2	0.8431141256	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Mode-only weighting	NA	F1	0.8428199393	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Mode-only weighting	NA	J	0.5534098502	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Mode-only weighting	NA	MAE	0.5537474286	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Mode-only weighting	NA	Corr	0.7564170135	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Mode-only weighting	NA	Acc7	0.5268062586	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Mode-only weighting	NA	Acc5	0.5480326737	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Mode-only weighting	NA	Acc2	0.843298437	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Mode-only weighting	NA	F1	0.8430138624	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Scalar-risk weighting	NA	J	0.5526196875	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Scalar-risk weighting	NA	MAE	0.5526196875	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Scalar-risk weighting	NA	Corr	0.7574055581	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Scalar-risk weighting	NA	Acc7	0.5270363553	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Scalar-risk weighting	NA	Acc5	0.5484353428	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Scalar-risk weighting	NA	Acc2	0.8438513713	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Scalar-risk weighting	NA	F1	0.8435640112	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Scalar-risk weighting	NA	J	0.5544157315	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Scalar-risk weighting	NA	MAE	0.5544157315	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Scalar-risk weighting	NA	Corr	0.7557603906	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Scalar-risk weighting	NA	Acc7	0.5247353889	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Scalar-risk weighting	NA	Acc5	0.5460193281	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Scalar-risk weighting	NA	Acc2	0.8441462695	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Scalar-risk weighting	NA	F1	0.8437826679	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Scalar-risk weighting	NA	J	0.5528732061	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Scalar-risk weighting	NA	MAE	0.5528732061	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Scalar-risk weighting	NA	Corr	0.7570810643	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Scalar-risk weighting	NA	Acc7	0.5270363553	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Scalar-risk weighting	NA	Acc5	0.5483202945	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Scalar-risk weighting	NA	Acc2	0.8447360661	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Scalar-risk weighting	NA	F1	0.8444719076	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Scalar-risk weighting	NA	J	0.554604736	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Scalar-risk weighting	NA	MAE	0.554604736	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Scalar-risk weighting	NA	Corr	0.7555310906	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Scalar-risk weighting	NA	Acc7	0.5245052922	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Scalar-risk weighting	NA	Acc5	0.5457892315	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Scalar-risk weighting	NA	Acc2	0.8439988204	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Scalar-risk weighting	NA	F1	0.8436844599	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Scalar-risk weighting	NA	J	0.5532921227	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Scalar-risk weighting	NA	MAE	0.5536283403	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Scalar-risk weighting	NA	Corr	0.7564445259	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Scalar-risk weighting	NA	Acc7	0.5258283479	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Scalar-risk weighting	NA	Acc5	0.5471410492	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Scalar-risk weighting	NA	Acc2	0.8441831318	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Scalar-risk weighting	NA	F1	0.8438757617	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Joint-risk personalized Teacher	NA	J	0.5535154206	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Joint-risk personalized Teacher	NA	MAE	0.5535154206	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Joint-risk personalized Teacher	NA	Corr	0.7563142888	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Joint-risk personalized Teacher	NA	Acc7	0.5260009204	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Joint-risk personalized Teacher	NA	Acc5	0.5478601012	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Joint-risk personalized Teacher	NA	Acc2	0.8432615748	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Joint-risk personalized Teacher	NA	F1	0.8428959092	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Joint-risk personalized Teacher	NA	J	0.5554609842	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Joint-risk personalized Teacher	NA	MAE	0.5554609842	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Joint-risk personalized Teacher	NA	Corr	0.7544285619	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Joint-risk personalized Teacher	NA	Acc7	0.5258858721	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Joint-risk personalized Teacher	NA	Acc5	0.547399908	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Joint-risk personalized Teacher	NA	Acc2	0.8442937187	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Joint-risk personalized Teacher	NA	F1	0.8438124977	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Joint-risk personalized Teacher	NA	J	0.5537817401	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Joint-risk personalized Teacher	NA	MAE	0.5537817401	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Joint-risk personalized Teacher	NA	Corr	0.7560330973	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Joint-risk personalized Teacher	NA	Acc7	0.5274965486	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Joint-risk personalized Teacher	NA	Acc5	0.5490105844	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Joint-risk personalized Teacher	NA	Acc2	0.8431141256	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Joint-risk personalized Teacher	NA	F1	0.8427536885	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Joint-risk personalized Teacher	NA	J	0.5555359314	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Joint-risk personalized Teacher	NA	MAE	0.5555359314	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Joint-risk personalized Teacher	NA	Corr	0.7544471525	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Joint-risk personalized Teacher	NA	Acc7	0.5253106305	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Joint-risk personalized Teacher	NA	Acc5	0.5468246664	Per-mode fixed stacking	NA
